StormID,Time,Start,End,Ini_Lat,Ini_Lon,Ini_Time,,Lat_2,Lon_2,Time_2,,Lat_3,Lon_3,Time_3,,Distance1,Distance2,,Total Distance KM,Total Distance m,,Time1,Time2,TotalTime(S),,ObservedMotion(m/s),,,,Distance1_U,,Distance2_U,TotalD_U_dist,TotalU_Vector,,,Distance1_V,,Distance2_V,TotalD_V_dist,TotalV_Vector,,,TotalU_Vector,TotalV_Vector,,U**2,V**2,Mag,,AngleRad,AngleDeg
30,6,xxx,xxx,35.30761,-98.66242,5:48,1/0/1900 5:48,35.34317,-98.54339,6:03,1/0/1900 6:03,35.38057,-98.45948,6:14,1/0/1900 6:14,11.51950183,8.681897768,,20.20139959,20201.39959,,900,660,1560,,12.94961512,,,30,10.82520889,30,7.62787232,18.45308121,11.82889821,,30,3.945259147,30,4.149425883,8.09468503,5.18890066,,,11.82889821,5.18890066,,139.9228329,26.92469006,12.91694712,,0.41338623,23.68528632
30,7,xxx,xxx,35.47522,-98.20975,6:43,1/0/1900 6:43,35.45872,-98.14683,6:53,1/0/1900 6:53,null,null,null,null,5.997263882,0,,5.997263882,5997.263882,,600,#VALUE!,600,,9.995439803,,,30,5.710445942,,0,5.710445942,9.517409903,,30,1.830660987,,0,1.830660987,3.051101645,,,9.517409903,3.051101645,,90.58109126,9.309221248,9.994514121,,0.31022997,17.77486794
32,3,2:54,3:51,35.17844,-99.09502,2:54,1/0/1900 2:54,35.20705,-99.07338,2:59,1/0/1900 2:59,35.30039,-98.94476,3:15,1/0/1900 3:15,3.736196013,15.62846471,,19.36466072,19364.66072,,300,960,1260,,15.36877835,,,32,1.971177863,32,11.71183057,13.68300843,10.8595305,,32,3.174110937,32,10.35562759,13.52973853,10.73788772,,,10.8595305,10.73788772,,117.9294027,115.3022327,15.27192311,,0.77976594,44.67729734
32,4,xxx,xxx,35.54588,-98.83688,3:45,1/0/1900 3:45,35.58972,-98.82603,3:51,1/0/1900 3:51,null,null,null,null,4.962543161,0,,4.962543161,4962.543161,,360,#VALUE!,360,,13.78484211,,,32,0.983853808,,0,0.983853808,2.732927244,,32,4.864092242,,0,4.864092242,13.51136734,,,2.732927244,13.51136734,,7.468891321,182.5570474,13.78498962,,1.371220241,78.56513261
34,20,19:50,19:56,34.41107,-97.20614,19:50,1/0/1900 19:50,34.45209,-97.17524,19:56,1/0/1900 19:56,null,null,null,null,5.363984,0,,5.363984,5363.984,,360,#VALUE!,360,,14.89995556,,,34,2.840865458,,0,2.840865458,7.891292939,,34,4.550357019,,0,4.550357019,12.63988061,,,7.891292939,12.63988061,,62.27250425,159.7665818,14.90097601,,1.012688274,58.02276408
35,21,20:16,22:25,35.17916,-96.68033,20:42,1/0/1900 20:42,35.26481,-96.5741,20:56,1/0/1900 20:56,35.38925,-96.45061,21:16,1/0/1900 21:16,13.55836912,17.79555942,,31.35392854,31353.92854,,840,1200,2040,,15.36957281,,,35,9.676357133,35,11.23673654,20.91309367,10.25151651,,35,9.502408858,35,13.80619185,23.30860071,11.42578466,,,10.25151651,11.42578466,,105.0935908,130.5485551,15.35063992,,0.839515673,48.10070493
35,22,xxx,xxx,35.56996,-96.26898,21:47,1/0/1900 21:47,35.61198,-96.23565,21:59,1/0/1900 21:59,35.67369,-96.14314,22:18,1/0/1900 22:18,5.555170861,10.82029347,,16.37546433,16375.46433,,720,1140,1860,,8.804013081,,,35,3.021386281,35,8.381710677,11.40309696,6.130697289,,35,4.662179363,35,6.846872211,11.50905157,6.187662137,,,6.130697289,6.187662137,,37.58544925,38.28716272,8.710488618,,0.790022516,45.26495591
36,20,19:39,21:09,34.95205,-97.10799,19:45,1/0/1900 19:45,35.08263,-97.01115,20:02,1/0/1900 20:02,35.15872,-96.98102,20:16,1/0/1900 20:16,16.97003312,8.877179385,,25.84721251,25847.21251,,1020,840,1860,,13.89635081,,,36,8.845499964,36,2.74774467,11.59324463,6.232927223,,36,14.48666171,36,8.441636584,22.92829829,12.32704209,,,6.232927223,12.32704209,,38.84938177,151.9559667,13.81323092,,1.10265455,63.17745196
36,21,xxx,xxx,35.38392,-96.84977,20:42,1/0/1900 20:42,35.47843,-96.76633,20:56,1/0/1900 20:56,35.57251,-96.74033,21:09,1/0/1900 21:09,12.93678295,10.7012692,,23.63805215,23638.05215,,840,780,1620,,14.59139022,,,36,7.581336159,36,2.359594642,9.940930801,6.136377038,,36,10.48574195,36,10.43819752,20.92393947,12.91601202,,,6.136377038,12.91601202,,37.65512315,166.8233665,14.29959753,,1.127267683,64.58768062
38,21,20:56,21:09,35.3007,-97.19504,20:56,1/0/1900 20:56,35.376,-97.0963,21:09,1/0/1900 21:09,null,null,null,null,12.26263892,0,,12.26263892,12262.63892,,780,#VALUE!,780,,15.72133195,,,38,8.980694188,,0,8.980694188,11.5137105,,38,8.354292802,,0,8.354292802,10.7106318,,,11.5137105,10.7106318,,132.5655295,114.7176336,15.72523968,,0.749278785,42.93051204
